Aphid_species,Soil_conditioning,BlockNr,Block,Block_g,plantnr,cagenr,Days_after_inf,inductionnr,Aphid_number,notes
MpN,CTRL,2.2,2,1,2,2,14,1,11,
MpN,CTRL,2.3,2,1,3,1,14,1,9,
MpN,CTRL,3.4,3,2,4,1,14,1,15,
MpN,CTRL,3.4,3,2,4,2,14,1,8,
MpN,CTRL,3.5,3,2,5,1,14,1,15,
MpN,CTRL,3.5,3,2,5,2,14,1,13,
MpN,CTRL,4.6,4,2,6,1,14,1,16,
MpN,CTRL,4.7,4,2,7,1,14,1,10,
MpN,CTRL,4.7,4,2,7,2,14,1,10,
MpN,CTRL,5.8,5,3,8,1,14,1,28,
MpN,CTRL,5.8,5,3,8,2,14,1,12,
MpN,CTRL,5.9,5,3,9,1,14,1,17,
MpN,CTRL,5.9,5,3,9,2,14,1,10,
MpN,CTRL,6.11,6,3,11,1,14,1,4,
MpN,CTRL,6.11,6,3,11,2,14,1,5,
